SEGMENTO_PAIS|TIPO_DOCUMENTO|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|SUNAT_ESTADO_RUC|SUNAT_ESTADO_CONTRIBUYENTE|SUNAT_DEPARTAMENTO|SUNAT_PROVINCIA|SUNAT_DISTRITO|NUMERO_CELULAR
SEGMENTO_002|RUC|2042422772|CLIENT_00369|HABIDO|ACTIVO|LIMA|Lima|San Isidro|901019736
SEGMENTO_002|RUC|2006917349|CLIENT_00708|HABIDO|ACTIVO|LIMA|Lima|Miraflores|914005415
SEGMENTO_004|RUC|2094402346|CLIENT_00137|HABIDO|ACTIVO|LIMA|Lima|San Isidro|915735290
SEGMENTO_004|RUC|2088958700|CLIENT_00840|HABIDO|ACTIVO|LIMA|Lima|Chorrillos|902898929
SEGMENTO_004|RUC|2047770405|CLIENT_00867|HABIDO|ACTIVO|PUNO|Puno|Puno|916735975
SEGMENTO_004|RUC|2044349038|CLIENT_00549|HABIDO|ACTIVO|LIMA|Lima|Santiago de Surco|910017936
SEGMENTO_004|RUC|2074327800|CLIENT_00822|HABIDO|ACTIVO|CAJAMARCA|Jaén|Jaén|947628311
SEGMENTO_004|RUC|2037154486|CLIENT_00895|HABIDO|ACTIVO|JUNIN|Yauli|Santa Rosa de Sacco|941540801
SEGMENTO_004|RUC|2054712522|CLIENT_00762|HABIDO|ACTIVO|LIMA|Lima|San Borja|942505029
SEGMENTO_004|RUC|2053937831|CLIENT_00322|HABIDO|ACTIVO|LIMA|Lima|Lurigancho|942525916
SEGMENTO_003|RUC|2008935428|CLIENT_00164|HABIDO|ACTIVO|LIMA|Lima|Lima|931837308
SEGMENTO_004|RUC|2075370034|CLIENT_00145|HABIDO|ACTIVO|LIMA|Lima|Comas|916728733
SEGMENTO_004|RUC|2027355887|CLIENT_00755|HABIDO|ACTIVO|LIMA|Lima|San Miguel|920300841
SEGMENTO_004|RUC|2068741039|CLIENT_00328|HABIDO|ACTIVO|LIMA|Lima|La Molina|947637105
SEGMENTO_004|RUC|2074819724|CLIENT_00638|HABIDO|ACTIVO|LIMA|Lima|Puente Piedra|929722737
SEGMENTO_002|RUC|2009118790|CLIENT_00144|HABIDO|ACTIVO|LIMA|Lima|San Borja|961945925
SEGMENTO_004|RUC|2001580114|CLIENT_00016|HABIDO|ACTIVO|LIMA|Lima|San Isidro|902923300
SEGMENTO_004|RUC|1042862786|CLIENT_00787|HABIDO|ACTIVO|LIMA|Lima|Miraflores|914223081
SEGMENTO_004|RUC|2009716777|CLIENT_00151|HABIDO|ACTIVO|ANCASH|Santa|Chimbote|920553704
SEGMENTO_004|RUC|2062201122|CLIENT_00210|HABIDO|ACTIVO|LIMA|Lima|San Juan de Miraflores|931220656
SEGMENTO_004|RUC|2077048357|CLIENT_00123|HABIDO|ACTIVO|ANCASH|Santa|Chimbote|931570473
SEGMENTO_004|RUC|2057229878|CLIENT_00373|HABIDO|ACTIVO|JUNIN|Chanchamayo|Chanchamayo|936589833
SEGMENTO_004|RUC|2024668089|CLIENT_00504|HABIDO|ACTIVO|LIMA|Lima|Lima|901009980
SEGMENTO_004|RUC|2087799939|CLIENT_00195|HABIDO|ACTIVO|LAMBAYEQUE|Chiclayo|Chiclayo|914563586
